657A, 657A, 29.58520, -81.86650, 34.0
658A, 658A, 29.42200, -81.25780, 11.0
732A, 732A, 28.72920, -99.97070, 178.0
733A, 733A, 28.71920, -99.29390, 169.0
734A, 734A, 28.84730, -98.55760, 121.0
735A, 735A, 28.85530, -97.80810, 90.0
736A, 736A, 28.95500, -97.06730, 45.0
737A, 737A, 28.76390, -96.44020, 11.0
738A, 738A, 28.84040, -95.64810, 13.0
757A, 757A, 28.94130, -82.06850, 22.0
758A, 758A, 28.96210, -81.19960, 16.0
832A, 832A, 28.28440, -99.97430, 238.0
833A, 833A, 28.32360, -99.39390, 171.0
834A, 834A, 28.12510, -98.55190, 151.0
835A, 835A, 28.28700, -97.82970, 57.0
857A, 857A, 28.26700, -82.22910, 50.0
858A, 858A, 28.21260, -81.36160, 27.0
859A, 859A, 28.05920, -80.89840, 13.0
933A, 933A, 27.61330, -99.27460, 214.0
934A, 934A, 27.60180, -98.51920, 144.0
936A, 936A, 27.42080, -97.30910, -3.0
957A, 957A, 27.67020, -82.23570, 35.0
958A, 958A, 27.58550, -81.75430, 30.0
959A, 959A, 27.52400, -80.87910, 23.0
A001, A001, 43.16710, 12.52060, 317.0
A004, A004, 43.33040, 12.73640, 472.0
A01, A01, 52.25800, 7.33600, 47.0
A02, A02, 52.42200, 7.93500, 90.0
A04, A04, 52.18800, 8.08100, 140.0
A04A, A04A, 48.71970, -122.70700, 23.0
A04D, A04D, 48.72011, -122.70631, 13.0
A05, A05, 51.94900, 8.68400, 250.0
A05A, A05A, 48.99830, -122.08520, 174.3
A06, A06, 51.68300, 7.44100, 65.0
A06A, A06A, 49.09830, -121.48040, 576.0
A07, A07, 51.69600, 8.01000, 85.0
A07A, A07A, 49.04800, -120.38370, 1842.0
A08, A08, 51.67900, 8.96200, 340.0
A08A, A08A, 48.95340, -119.27250, 1089.0
A09, A09, 51.49200, 8.06400, 235.0
A09A, A09A, 48.97520, -118.58510, 931.0
-A0MA, -A0MA, 46.68861, -106.22222, 897.0
A10, A10, 10.46110, -84.71560, 830.0
A10A, A10A, 48.98130, -117.55860, 688.0
A10E, A10E, 51.49400, 8.45300, 360.0
A11, A11, 47.24250, -70.19778, 61.0
